"","nazwa","wyswietlacz","pamiec_RAM","pamiec_wbudowana","aparat_foto","cena","liczba_opinii","ocena","status_opinii"
"1","Moto G100","6.7""",8,128,64,1799,6,"5","mniej 50 opinii"
"2","Moto E20","6.52""",2,32,13,449,2,"4.5","mniej 50 opinii"
"3","Moto G50","6.5""",4,64,48,899,10,"5","mniej 50 opinii"
"4","Moto G200","6.8""",8,128,16,1999,8,"4","mniej 50 opinii"
"5","Moto G60S","6.8""",6,128,64,1149,1,"4.5","mniej 50 opinii"
"6","Moto G60","6.8""",6,128,108,1399,0,"0","nie ma"
"7","Moto E7i Power","6.5""",2,32,13,449,3,"3","mniej 50 opinii"
"8","Moto E40","6.5""",4,64,48,699,1,"4.5","mniej 50 opinii"
"9","Moto G31","6.4""",4,64,50,899,2,"5","mniej 50 opinii"
"10","Defy","6.5""",4,64,48,1199,4,"3.5","mniej 50 opinii"
"11","Moto G31","6.4""",4,64,50,899,2,"4.5","mniej 50 opinii"
"12","Edge 20 Lite","6.7""",8,128,108,1699,4,"5","mniej 50 opinii"
"13","RAZR","2.7""",8,256,48,3499,2,"5","mniej 50 opinii"
"14","Edge 20 Pro","6.7""",12,256,108,3299,3,"4.5","mniej 50 opinii"
"15","Moto E20 Coastal Blue","6.52""",2,32,13,449,2,"4.5","mniej 50 opinii"
